package,fixed_in,fixed_on,functions,scripts_exposed,text
mgcv,0.8-2,,plot.gam,1,A bug in the select option of plot.gam has been fixed.
mgcv,1.3-24,2007-05-06,gam.check;model.matrix.gam;plot.gam,1,"gam.check modified to report more useful convergence diagnostics. ** `model.matrix.gam' added. ** ""cr"" basis constructor modified to use the same centering conditions as other bases (sum to zero over covariates, rather than parameters sum to zero). This makes centred confidence intervals for smooths, of the sort used in plot.gam, behave in a similar way for all bases. With the old ""cr"" centering constraint there could be high negative correlation between coefficients of a centered smooth and the intercept: this could make centred ""cr"" smooth CIs wider than CIs for other bases (not really wrong, but disconcerting)."
mgcv,1.7-10,2011-11-02,plot.gam,1,fix stupid bug in 1.7-9 that lost term labels in plot.gam.
nlme,3.1-73,2006-05-18,gsummary,1,"R/newFunc.R: fix bug in gsummary with objects that have classes, e.g. Hmisc labels. (Reported by Mark Difford, in a private followup to https://stat.ethz.ch/pipermail/r-help/2006-May/094549.html.)"
quantreg,3.08,,anova.rqlist,1,1. Fixed a bug in anova.rqlist ndf = (p-1)*(m-1) not p*(m-1).
quantreg,3.31,,anova.rqlist,1,1. fixed a bug in anova.rqlist that messed up the checking for an intercept found by Juan de la Garza.
quantreg,3.33,,ranks,1,1. Fixed a bug in ranks() found by Brian Cade involving the tau score function.
quantreg,3.73,,anova.rqlist;rq.test.rank,1,"2. Fixed large bug in anova.rqlist in which chi-squared statistic was divided by numerator degrees of freedom (ndf) when this had already been done in rq.test.rank, and modified the way that the score function specification was passed."
quantreg,4.16,,boot.crq,1,1. Fixed a bug in the boot.crq which led to double weighting in the bootstrap.
quantreg,4.20,,rq.fit.lasso;rq.fit.scad,1,3 Fixed a bug in rq.fit.lasso for tau != .5. And for rq.fit.scad.
quantreg,4.20,,rq.test.rank,1,2. Fixed bug in rq.test.rank which computed the denominator degrees of freedom incorrectly. (Thanks to Xuming He for pointing this out.)
quantreg,4.24,,rq.fit.lasso;rq.fit.scad,1,"2. Changed rq.fit.lasso to fix a bug when p=2, as suggested by Gal Goldshtein, and in rq.fit.scad."
quantreg,4.43,,predict.rq,1,"1. Fix bug in predict.rq so rdf were found, thanks to Richard Berk for report."
quantreg,4.51,,predict.rq.process,1,2. Fixed bug in predict.rq.process pointed out by Stephen Wegland (Mayo).
sandwich,2.2-8,2011-09-28,bwNeweyWest,1,Fixed a bug in `bwNeweyWest()` for `mlm` objects that only have an intercept.
